,Class,Sample,Date,Peak,scan_number,Intensity,Area%,CAS_ID,Quality,Peak_ID,RI,Sample_ID
182,CU,CU3,2015/11/25,3,2135,88552,0.32,014092-20-7,25.0,CU3-1125-3,6.60476400529,CU3-1125
183,CU,CU3,2015/11/25,4,2163,36715,0.13,000123-72-8,90.0,CU3-1125-4,6.63413506013,CU3-1125
184,CU,CU3,2015/11/25,5,2216,22500,0.08,000110-60-1,36.0,CU3-1125-5,6.69842078451,CU3-1125
185,CU,CU3,2015/11/25,5,2216,22500,0.08,000141-78-6,37.0,CU3-1125-5,6.69842078451,CU3-1125
186,CU,CU3,2015/11/25,6,2230,378275,1.38,000109-99-9,90.0,CU3-1125-6,6.71742543171,CU3-1125
187,CU,CU3,2015/11/25,7,2298,30941,0.11,000071-43-2,91.0,CU3-1125-7,6.82789855072,CU3-1125
188,CU,CU3,2015/11/25,8,2308,31163,0.11,999100-34-0,43.0,CU3-1125-8,6.84681902409,CU3-1125
189,CU,CU3,2015/11/25,8,2308,31163,0.11,000096-17-3,43.0,CU3-1125-8,6.84681902409,CU3-1125
190,CU,CU3,2015/11/25,8,2308,31163,0.11,017342-50-6,43.0,CU3-1125-8,6.84681902409,CU3-1125
191,CU,CU3,2015/11/25,9,2323,290550,1.06,001115-11-3,60.0,CU3-1125-9,6.87772087068,CU3-1125
192,CU,CU3,2015/11/25,9,2323,290550,1.06,000922-63-4,70.0,CU3-1125-9,6.87772087068,CU3-1125
193,CU,CU3,2015/11/25,10,2367,43123,0.16,000626-91-5,50.0,CU3-1125-10,6.98138869005,CU3-1125
194,CU,CU3,2015/11/25,10,2367,43123,0.16,007289-51-2,56.0,CU3-1125-10,6.98138869005,CU3-1125
195,CU,CU3,2015/11/25,10,2367,43123,0.16,062016-48-2,59.0,CU3-1125-10,6.98138869005,CU3-1125
196,CU,CU3,2015/11/25,11,2400,10753,0.04,000110-62-3,50.0,CU3-1125-11,7.07613814757,CU3-1125
197,CU,CU3,2015/11/25,11,2400,10753,0.04,000590-86-3,64.0,CU3-1125-11,7.07613814757,CU3-1125
198,CU,CU3,2015/11/25,12,2452,216579,0.79,000109-60-4,78.0,CU3-1125-12,7.27062094532,CU3-1125
199,CU,CU3,2015/11/25,13,2535,552586,2.02,000137-32-6,91.0,CU3-1125-13,7.78515625,CU3-1125
200,CU,CU3,2015/11/25,13,2535,552586,2.02,034713-94-5,91.0,CU3-1125-13,7.78515625,CU3-1125
201,CU,CU3,2015/11/25,14,2633,127077,0.46,000108-88-3,93.0,CU3-1125-14,9.4275,CU3-1125
202,CU,CU3,2015/11/25,15,2673,74476,0.27,000110-19-0,64.0,CU3-1125-15,11.484,CU3-1125
203,CU,CU3,2015/11/25,16,2783,63189,0.23,000066-25-1,59.0,CU3-1125-16,8.07992106561,CU3-1125
204,CU,CU3,2015/11/25,17,2800,36815,0.13,000105-54-4,93.0,CU3-1125-17,8.11512990321,CU3-1125
205,CU,CU3,2015/11/25,18,2833,343136,1.26,000106-36-5,90.0,CU3-1125-18,8.18967391304,CU3-1125
206,CU,CU3,2015/11/25,19,2853,1473227,5.39,000123-86-4,90.0,CU3-1125-19,8.2402266289,CU3-1125
207,CU,CU3,2015/11/25,20,2867,2799017,10.24,000541-05-9,91.0,CU3-1125-20,8.27862149533,CU3-1125
208,CU,CU3,2015/11/25,21,3062,49644,0.18,007452-79-1,90.0,CU3-1125-21,9.23139653415,CU3-1125
209,CU,CU3,2015/11/25,22,3096,19879,0.07,002216-34-4,50.0,CU3-1125-22,9.56323185012,CU3-1125
210,CU,CU3,2015/11/25,23,3124,15815,0.06,000100-41-4,76.0,CU3-1125-23,9.92256341789,CU3-1125
211,CU,CU3,2015/11/25,23,3124,15815,0.06,000000-00-0,76.0,CU3-1125-23,9.92256341789,CU3-1125
212,CU,CU3,2015/11/25,24,3169,53767,0.2,001330-20-7,95.0,CU3-1125-24,10.774137931,CU3-1125
213,CU,CU3,2015/11/25,24,3169,53767,0.2,000095-47-6,95.0,CU3-1125-24,10.774137931,CU3-1125
214,CU,CU3,2015/11/25,25,3203,44843,0.16,000111-27-3,64.0,CU3-1125-25,11.8322295806,CU3-1125
215,CU,CU3,2015/11/25,25,3203,44843,0.16,002415-72-7,64.0,CU3-1125-25,11.8322295806,CU3-1125
216,CU,CU3,2015/11/25,26,3232,10597299,38.77,000624-41-9,83.0,CU3-1125-26,13.363372093,CU3-1125
217,CU,CU3,2015/11/25,27,3326,35459,0.13,000103-09-3,10.0,CU3-1125-27,9.00310666206,CU3-1125
218,CU,CU3,2015/11/25,27,3326,35459,0.13,000624-41-9,10.0,CU3-1125-27,9.00310666206,CU3-1125
219,CU,CU3,2015/11/25,27,3326,35459,0.13,999149-81-4,14.0,CU3-1125-27,9.00310666206,CU3-1125
220,CU,CU3,2015/11/25,28,3365,274150,1.0,000105-66-8,91.0,CU3-1125-28,9.05634314795,CU3-1125
